date, pm25, pm10, o3, no2, so2, co,latitude,longitude
2019/10/2, 63, 29, 70, 21, 1, 7,-23.685313382167138,-46.625954889892164
2019/10/3, 71, 28, 33, 10, , 5,-23.685313382167138,-46.625954889892164
2019/10/4, 57, 30, 58, 11, 1, 5,-23.685313382167138,-46.625954889892164
2019/10/5, 74, 37, 63, 12, 1, 6,-23.685313382167138,-46.625954889892164
2019/10/6, 77, 12, 26, 4, , 5,-23.685313382167138,-46.625954889892164
2019/10/7, 66, 10, 17, 6, , 5,-23.685313382167138,-46.625954889892164
2019/10/8, 34, 14, 21, 11, 1, 6,-23.685313382167138,-46.625954889892164
2019/10/9, 38, 15, 18, 11, 1, 6,-23.685313382167138,-46.625954889892164
2019/10/10, 42, 19, 25, 10, 1, 7,-23.685313382167138,-46.625954889892164
2019/10/11, 53, 22, 35, 17, , 8,-23.685313382167138,-46.625954889892164
2019/10/18, 119, 34, 55, 15, 1, 11,-23.685313382167138,-46.625954889892164
2019/10/19, 88, 13, 29, 4, , 8,-23.685313382167138,-46.625954889892164
2019/10/20, 40, 13, 22, 3, , ,-23.685313382167138,-46.625954889892164
2019/10/21, 31, 19, 15, 16, 1, 11,-23.685313382167138,-46.625954889892164
2019/10/22, 50, 19, 19, 11, , 10,-23.685313382167138,-46.625954889892164
2019/10/23, 53, 18, 26, 8, 1, 8,-23.685313382167138,-46.625954889892164
2019/10/24, 46, 21, 25, 12, , 10,-23.685313382167138,-46.625954889892164
2019/10/25, 57, 29, 29, 14, , 10,-23.685313382167138,-46.625954889892164
2019/10/26, 85, 21, 27, 8, , 5,-23.685313382167138,-46.625954889892164
2019/10/27, 59, 20, 46, 10, 1, 5,-23.685313382167138,-46.625954889892164
2019/10/28, 66, 29, 40, 12, , 7,-23.685313382167138,-46.625954889892164
2019/10/29, 49, 27, 40, 20, , 9,-23.685313382167138,-46.625954889892164
2019/10/30, 70, 27, 67, 13, 1, 7,-23.685313382167138,-46.625954889892164
2019/10/31, 65, 26, 26, 10, , 7,-23.685313382167138,-46.625954889892164
2019/11/1, 64, 23, 27, 7, , 6,-23.685313382167138,-46.625954889892164
2019/11/2, 56, 21, 31, 7, 1, 4,-23.685313382167138,-46.625954889892164
2019/11/3, 57, 24, 43, 10, , 6,-23.685313382167138,-46.625954889892164
2019/11/4, 70, 22, 49, 10, 1, 4,-23.685313382167138,-46.625954889892164
2019/11/5, 61, 19, 34, 11, , 5,-23.685313382167138,-46.625954889892164
2019/11/6, 45, 16, 20, 6, , 3,-23.685313382167138,-46.625954889892164
2019/11/7, 37, 17, 12, 11, , 4,-23.685313382167138,-46.625954889892164
2019/11/8, 42, 17, 13, 11, , 4,-23.685313382167138,-46.625954889892164
2019/11/9, 47, 13, 9, 7, , 3,-23.685313382167138,-46.625954889892164
2019/11/10, 34, 15, 23, 10, , 5,-23.685313382167138,-46.625954889892164
2019/11/11, 53, 14, 17, 7, , 4,-23.685313382167138,-46.625954889892164
2019/11/12, 38, 14, 11, 6, , 3,-23.685313382167138,-46.625954889892164
2019/11/13, 30, 17, 22, 9, , 4,-23.685313382167138,-46.625954889892164
2019/11/14, 48, 18, 19, 15, , 6,-23.685313382167138,-46.625954889892164
2019/11/15, 52, 13, 18, 7, , 5,-23.685313382167138,-46.625954889892164
2019/11/16, 35, 18, 22, 6, 1, 4,-23.685313382167138,-46.625954889892164
2019/11/17, 47, 17, 35, 5, 2, 3,-23.685313382167138,-46.625954889892164
2019/11/18, 40, 17, 15, 8, 1, 4,-23.685313382167138,-46.625954889892164
