data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/12/2, 37, 40, 29, 8, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/3, 47, 11, 13, 11, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/4, 21, 13, 16, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/5, 21, 21, 14, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/6, 34, 50, 27, 11, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/7, 50, 59, 37, 10, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/8, 64, 26, 34, 7, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/9, 42, 40, 31, 8, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/10, 51, , , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/2, 43, 19, 24, 13, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/3, 51, 19, 20, 6, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/4, 49, 9, 9, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/5, 26, 17, 15, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/6, 34, 13, 20, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/7, 28, 17, 16, 10, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/8, 27, 13, 14, 11, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/9, 19, 12, 17, 6, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/10, 23, 15, 23, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/11, 29, 27, 41, 11, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/12, 41, 31, 36, 13, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/13, 51, 15, 16, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/14, 25, 17, 16, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/15, 32, 14, 24, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/16, 30, 17, 18, 7, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/17, 29, 14, 29, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/18, 26, 32, 38, 8, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/19, 42, 46, 48, 12, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/20, 80, 35, 37, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/21, 56, 19, 18, 6, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/22, 34, 12, 15, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/23, 19, 12, 17, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/24, 27, 11, 20, 3, , 1,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/25, 23, 24, 30, 8, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/26, 38, 51, 44, 15, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/27, 73, 57, 14, 38, 2, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/28, 127, , , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/30, 45, 40, 41, 10, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/12/1, 62, 22, 30, 3, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/2, 94, 58, 50, 17, 5, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/3, 106, 21, 21, 7, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/4, 45, 11, 19, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/5, 18, 12, 25, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/6, 15, , 12, 7, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/12, 40, 18, 28, 6, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/13, 25, 11, 25, 3, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/14, 20, 13, 23, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/15, 20, 27, 42, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/16, 50, 43, 59, 12, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/17, 71, 35, 72, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/18, 67, 27, 33, 8, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/19, 50, 14, 19, 6, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/20, 31, , , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/29, 33, 18, 18, 8, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/30, 41, 19, 28, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/31, 39, 21, 24, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/11/1, 42, 21, 30, 8, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/2, 42, 20, 12, 12, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/3, 48, 33, 17, 19, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/4, 62, 49, 11, 22, 1, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/5, 88, 59, 26, 24, 2, 9,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/6, 97, 32, 23, 10, 2, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/7, 69, 29, 21, 10, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/8, 68, 15, 13, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/9, 36, 9, 5, 14, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/10, 28, 17, 12, 14, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/11, 38, 37, 8, 16, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/12, 72, 17, 12, 8, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/13, 29, 13, 11, 8, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/14, 28, 17, 23, 6, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/15, 41, 25, 22, 14, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/16, 62, 32, 15, 14, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/17, 67, 36, 15, 16, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/18, 77, 46, 28, 22, 1, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/19, 90, 35, 25, 15, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/20, 74, 34, 19, 14, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/21, 81, 30, 27, 8, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/22, 73, 51, 34, 25, 1, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/23, 99, 70, 34, 29, 2, 10,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/24, 128, 51, 26, 26, 4, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/25, 94, 57, 35, 27, 1, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/7/26, 103, 66, 34, 31, 2, 10,-23.467295600325237,-46.53206211505543,Guarulhos
