date, pm25, pm10, o3, no2, so2, co,latitude,longitude
2024/12/2, 34, 16, 25, 12, , ,-23.499440086125986,-46.39547580760927
2024/12/3, 39, 10, 16, 10, , ,-23.499440086125986,-46.39547580760927
2024/12/4, 28, 7, 14, 4, , ,-23.499440086125986,-46.39547580760927
2024/12/5, 18, 15, 15, 9, , ,-23.499440086125986,-46.39547580760927
2024/12/6, 39, 20, 19, 11, , ,-23.499440086125986,-46.39547580760927
2024/12/7, 50, , , , , ,-23.499440086125986,-46.39547580760927
2024/11/17, 43, 12, 7, 8, , ,-23.499440086125986,-46.39547580760927
2024/11/18, 25, , , , , ,-23.499440086125986,-46.39547580760927
2024/11/22, 30, 7, 12, 4, , ,-23.499440086125986,-46.39547580760927
2024/11/23, 16, 7, 13, 3, , ,-23.499440086125986,-46.39547580760927
2024/11/24, 20, 8, 15, 3, , ,-23.499440086125986,-46.39547580760927
2024/11/25, 22, 19, 28, 8, , ,-23.499440086125986,-46.39547580760927
2024/11/26, 39, 33, 39, 15, , ,-23.499440086125986,-46.39547580760927
2024/11/27, 59, 39, 39, 19, , ,-23.499440086125986,-46.39547580760927
2024/11/28, 68, 42, 35, 17, , ,-23.499440086125986,-46.39547580760927
2024/11/29, 74, 18, 23, 14, , ,-23.499440086125986,-46.39547580760927
2024/11/30, 46, 25, 36, 14, , ,-23.499440086125986,-46.39547580760927
2024/12/1, 62, 13, 25, 4, , ,-23.499440086125986,-46.39547580760927
2024/10/2, 89, 54, 37, , , ,-23.499440086125986,-46.39547580760927
2024/10/3, 100, 15, 21, , , ,-23.499440086125986,-46.39547580760927
2024/10/4, 42, 6, , , , ,-23.499440086125986,-46.39547580760927
2024/10/5, 17, 9, , , , ,-23.499440086125986,-46.39547580760927
2024/10/6, 20, 21, , , , ,-23.499440086125986,-46.39547580760927
2024/10/7, 46, 19, , , , ,-23.499440086125986,-46.39547580760927
2024/10/8, 35, 34, , , , ,-23.499440086125986,-46.39547580760927
2024/10/9, 69, 33, , , , ,-23.499440086125986,-46.39547580760927
2024/10/10, 75, 22, , , , ,-23.499440086125986,-46.39547580760927
2024/10/11, 54, 19, 14, , , ,-23.499440086125986,-46.39547580760927
2024/10/12, 48, 12, 17, , , ,-23.499440086125986,-46.39547580760927
2024/10/13, 42, , , , , ,-23.499440086125986,-46.39547580760927
2024/10/15, 22, 26, , , , ,-23.499440086125986,-46.39547580760927
2024/10/16, 51, 37, , , , ,-23.499440086125986,-46.39547580760927
2024/10/17, 71, 30, , , , ,-23.499440086125986,-46.39547580760927
2024/10/18, 64, 23, , , , ,-23.499440086125986,-46.39547580760927
