date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/12/2, 38, , 26, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/12/3, 34, , 22, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/12/4, 25, , 19, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/12/5, 14, , 26, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/12/6, 41, , , , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/12/7, 57, , , , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/2, 38, , 36, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/3, 53, , 23, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/4, 43, , 14, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/5, 33, , 27, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/6, 35, , 26, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/7, 27, , 22, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/8, 33, , 18, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/9, 20, , 22, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/10, 22, , 25, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/11, 28, , 50, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/12, 38, , 42, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/13, 59, , 19, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/14, 45, , 17, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/15, 24, , 26, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/16, 36, , 20, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/17, 37, , 39, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/18, 41, , 58, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/19, 55, , 50, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/20, 69, , 15, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/21, 21, , , , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/26, 39, , 54, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/27, 52, , 68, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/28, 83, , 52, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/29, 73, , 34, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/30, 40, , 40, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/12/1, 55, , 32, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/2, 87, , 61, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/3, 157, , 2, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/4, 44, , 24, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/5, 20, , 22, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/6, 26, , 23, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/7, 49, , 34, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/8, 39, , 48, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/9, 63, , 26, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/10, 59, , 25, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/11, 53, , 32, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/12, 46, , , , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/13, 21, , , , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/19, 55, , 23, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/20, 26, , 24, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/21, 9, , , , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/25, 37, , 38, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/26, 32, , 39, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/27, 45, , 21, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/28, 13, , 19, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/29, 32, , 24, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/30, 46, , 29, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/31, 33, , 27, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/11/1, 33, , 33, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2024/10/1, 59, , 24, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/2, 61, 32, 88, 20, 2, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/3, 67, , 40, 12, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/4, 63, 38, 60, 11, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/5, 71, 39, 59, 11, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/6, 76, 17, 27, 5, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/7, 55, 14, 25, 8, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/8, 22, 17, 26, 12, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/9, 31, 18, 21, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/10, 40, 19, 31, 9, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/11, 45, 29, 35, 13, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/12, 63, 25, 55, 14, 2, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/13, 70, 26, 61, 13, 4, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/14, 57, 31, 48, 12, 3, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/15, 71, 22, 26, 6, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/16, 36, 24, 25, 7, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/17, 52, 25, 37, 7, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/18, 54, 34, 54, 13, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/19, 80, 19, 36, 4, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/20, 39, 16, 23, 1, 1, 1,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/21, 31, 28, 19, 12, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/22, 51, 30, 28, 11, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/23, 60, 19, 28, 7, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/24, 50, 23, 38, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/25, 54, 40, 37, 12, 4, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/26, 83, 28, 31, 8, 3, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/27, 60, 22, 44, 7, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/28, 61, 24, 55, 9, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
