data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/12/2, 41, 26, 31, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/3, 42, 20, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/4, 20, 13, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/5, 16, 21, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/6, 42, 25, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/7, 48, 30, 38, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/8, 49, 17, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/9, 38, 22, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/12/10, 45, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/2, 35, 31, 33, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/3, 53, 24, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/4, 49, 20, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/5, 31, 32, 27, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/6, 49, 15, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/7, 32, 22, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/8, 29, 16, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/9, 19, 14, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/10, 18, 19, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/11, 25, 29, 42, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/12, 43, 39, 39, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/13, 57, 11, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/14, 19, 18, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/15, 30, 21, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/16, 42, 21, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/17, 51, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/21, 66, , 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/11/22, 72, , , , , ,-23.66740510650914,-46.460780861433044,Maua
