date, pm25, pm10, o3, no2, so2, co,latitude,longitude
2024/12/2, 35, , 6, , , 3,-23.55817427309982,-46.60807618968641
2024/12/3, 32, , , , , 2,-23.55817427309982,-46.60807618968641
2024/12/4, 21, , , , , 1,-23.55817427309982,-46.60807618968641
2024/12/5, 16, , 12, , , 1,-23.55817427309982,-46.60807618968641
2024/12/6, 37, , 4, , , 5,-23.55817427309982,-46.60807618968641
2024/12/7, 62, , , , , ,-23.55817427309982,-46.60807618968641
2024/11/2, 36, , 39, , , 1,-23.55817427309982,-46.60807618968641
2024/11/3, 44, , 32, , , 3,-23.55817427309982,-46.60807618968641
2024/11/4, 53, , 24, , , 2,-23.55817427309982,-46.60807618968641
2024/11/5, 23, , , , , ,-23.55817427309982,-46.60807618968641
2024/11/16, 33, , 32, , , 2,-23.55817427309982,-46.60807618968641
2024/11/17, 43, , 41, , , 1,-23.55817427309982,-46.60807618968641
2024/11/18, 35, , 40, , , 2,-23.55817427309982,-46.60807618968641
2024/11/19, 33, , 45, , , 2,-23.55817427309982,-46.60807618968641
2024/11/20, 47, , 17, , , 1,-23.55817427309982,-46.60807618968641
2024/11/21, 21, , 20, , , 1,-23.55817427309982,-46.60807618968641
2024/11/22, 15, , 19, , , 1,-23.55817427309982,-46.60807618968641
2024/11/23, 13, , 20, , , 1,-23.55817427309982,-46.60807618968641
2024/11/24, 17, , 25, , , 1,-23.55817427309982,-46.60807618968641
2024/11/25, 18, , 42, , , 2,-23.55817427309982,-46.60807618968641
2024/11/26, 33, , 42, , , 2,-23.55817427309982,-46.60807618968641
2024/11/27, 49, , 48, , , 3,-23.55817427309982,-46.60807618968641
2024/11/28, 61, , 42, , , 4,-23.55817427309982,-46.60807618968641
2024/11/29, 71, , 11, , , 2,-23.55817427309982,-46.60807618968641
2024/11/30, 38, , , , , 3,-23.55817427309982,-46.60807618968641
2024/12/1, 46, , 41, , , 1,-23.55817427309982,-46.60807618968641
2024/10/8, 46, , 38, , , 1,-23.55817427309982,-46.60807618968641
2024/10/9, 57, , 23, , , 2,-23.55817427309982,-46.60807618968641
2024/10/10, 75, , 26, , , 3,-23.55817427309982,-46.60807618968641
2024/10/11, 63, , 27, , , 3,-23.55817427309982,-46.60807618968641
2024/10/12, 57, , 37, , , 3,-23.55817427309982,-46.60807618968641
2024/10/16, 51, , 47, , , 2,-23.55817427309982,-46.60807618968641
2024/10/17, 76, , 54, , , 3,-23.55817427309982,-46.60807618968641
2024/10/18, 62, , 84, , , 2,-23.55817427309982,-46.60807618968641
2024/10/19, 63, , 42, , , 2,-23.55817427309982,-46.60807618968641
2024/10/20, 27, , 22, , , 1,-23.55817427309982,-46.60807618968641
2024/10/21, 42, , 22, , , 2,-23.55817427309982,-46.60807618968641
2024/10/25, 31, , 37, , , 3,-23.55817427309982,-46.60807618968641
2024/10/26, 36, , 29, , , 3,-23.55817427309982,-46.60807618968641
2024/10/27, 47, , 37, , , 2,-23.55817427309982,-46.60807618968641
2024/10/28, 22, , 24, , , 1,-23.55817427309982,-46.60807618968641
2024/10/29, 36, , 19, , , 2,-23.55817427309982,-46.60807618968641
2024/10/30, 51, , 28, , , 1,-23.55817427309982,-46.60807618968641
2024/10/31, 41, , 35, , , 1,-23.55817427309982,-46.60807618968641
2024/11/1, 35, , 32, , , 1,-23.55817427309982,-46.60807618968641
2024/7/2, 43, , 13, , , 3,-23.55817427309982,-46.60807618968641
2024/7/3, 62, , 18, , , 7,-23.55817427309982,-46.60807618968641
2024/7/4, 81, , 15, , , 8,-23.55817427309982,-46.60807618968641
