date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/12/2, 49, , 32, 14, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/12/3, 42, , 18, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/12/4, 24, , 18, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/12/5, 25, , 24, 14, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/12/6, 45, , 32, 13, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/12/7, 48, , , , , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/2, 42, , 35, 14, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/3, 57, , 21, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/4, 52, , 14, 11, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/5, 33, , 35, 12, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/6, 47, , 23, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/7, 35, , 19, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/8, 32, , 15, 11, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/9, 24, , 21, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/10, 22, , 24, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/11, 31, , 38, 14, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/12, 37, , 35, 18, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/13, 63, , 20, 8, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/14, 23, , 16, 6, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/15, 35, , 23, 5, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/16, 38, , 20, 6, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/17, 43, , 36, , , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/18, 54, , 45, , , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/19, 53, , 31, 5, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/20, 42, , 55, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/21, 52, , 17, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/22, 23, , 15, 6, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/23, 25, , 15, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/24, 24, , 21, , , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/25, 28, , 34, 15, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/26, 38, , 48, 15, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/27, 52, , 53, 20, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/28, 63, , 42, 20, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/29, 75, , 28, 17, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/11/30, 53, , 31, 10, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/12/1, 47, , 27, 3, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/2, 86, , 53, 19, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/3, 98, , 28, 4, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/4, 47, , 18, 9, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/5, 31, , 19, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/6, 39, , 39, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/7, 59, , 26, 7, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/8, 43, , 35, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/9, 57, , 22, 12, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/10, 57, , 22, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/11, 52, , 36, 17, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/12, 59, , , , , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/15, 48, , 17, 9, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/16, 52, , 42, 19, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
