date, pm25, pm10, o3, no2, so2, co
2019/10/2, 61, 38, 45, 20, 2, 5
2019/10/3, 67, 36, 31, 14, 2, 3
2019/10/4, 63, 34, 35, 11, 2, 2
2019/10/5, 71, 36, 42, 11, , 3
2019/10/6, 76, 15, 21, 7, , 1
2019/10/7, 29, 13, 21, 6, , 2
2019/10/8, 22, 15, 17, 9, 1, 2
2019/10/9, 31, 13, 14, 8, 1, 2
2019/10/10, 40, 18, 21, 7, , 2
2019/10/11, 30, 25, 26, , , 3
2019/10/13, 66, 34, 9, , 4, 4
2019/10/14, 57, 33, 31, , 3, 4
2019/10/15, 71, 26, 18, , 1, 1
2019/10/16, 36, 22, 17, , , 2
2019/10/17, 52, 25, 23, 4, 2, 2
2019/10/18, 54, 33, 38, 12, , 4
2019/10/19, 74, 22, 24, 4, , 2
2019/10/20, 44, 18, 19, 1, , 1
2019/10/21, 27, 23, 14, 12, 1, 3
2019/10/22, 45, 24, 18, 10, , 4
2019/10/23, 64, 18, 23, 6, , 1
2019/10/24, 40, 25, 21, 10, 1, 2
2019/10/25, 55, 28, 24, 11, 4, 3
2019/10/26, 70, 24, 20, 8, 3, 2
2019/10/27, 58, 24, 34, 6, 1, 3
2019/10/28, 45, 19, 36, 9, 1, 2
2019/10/29, 69, 28, 36, 16, 1, 4
2019/10/30, 78, 29, 46, 13, 1, 3
2019/10/31, 71, 64, 17, 12, 1, 2
2019/11/1, 67, 21, 22, 6, , 2
2019/11/2, 59, 21, 21, 6, 1, 1
2019/11/3, 49, 25, 35, 5, 1, 3
2019/11/4, 56, 24, 36, 8, , 2
2019/11/5, 53, 15, 26, 8, , 3
2019/11/6, 54, 19, 19, 6, , 2
2019/11/7, 31, 18, 11, 11, 1, 2
2019/11/8, 43, 20, 15, 10, 1, 3
2019/11/9, 49, 21, 9, 7, , 1
2019/11/10, 29, 17, 19, 6, , 3
2019/11/12, 17, 11, 11, 2, 3, 1
2019/11/13, 19, 20, 18, 8, 2, 2
2019/11/14, 38, 17, 12, 12, , 4
2019/11/15, 44, 17, 17, 6, , 2
2019/11/16, 36, 21, 26, 7, 4, 2
2019/11/17, 45, 17, 23, 8, 2, 1
2019/11/18, 29, 16, 15, 11, 1, 2
2019/11/19, 42, 16, 16, 7, 2, 2
2019/11/20, 38, 14, 16, 3, 1, 1
2019/11/21, 30, 21, 25, 7, 1, 2
2019/11/22, 49, 23, 32, 15, , 4
2019/11/23, 60, 17, 24, 5, , 2
2019/11/24, 40, 17, 18, , , 1
2019/11/25, 34, 17, 15, 5, 2, 1
2019/11/26, 36, 28, 29, 11, 2, 2
2019/11/27, 57, 22, 22, 13, , 4
2019/11/28, 62, 15, 17, 8, , 2
2019/11/29, 21, 25, 16, 6, , 1
2019/11/30, 43, 26, 35, 9, , 3
2019/12/1, 68, 15, 29, 5, , 2
2019/12/2, 37, 17, 16, 5, , 1
2019/12/3, 29, 20, 9, 7, 1, 2
2019/12/4, 43, 27, 31, 12, 1, 3
2019/12/5, 72, 17, 20, 13, , 5
2019/12/6, 46, 15, 17, 8, 1, 2
2019/12/7, 38, 16, 28, 8, 2, 1
2019/12/8, 37, 19, 33, 8, 3, 2
2019/12/9, 51, 26, 26, 13, , 3
2019/12/10, 57, 26, 14, 22, 1, 6
2019/12/11, 65, 29, 34, 17, 1, 5
2019/12/12, 77, 15, 26, 14, , 3
2019/12/13, 43, 22, 23, 11, , 4
2019/12/14, 76, 20, 18, 5, 2, 
2019/9/24, 34, 24, 15, 7, 3, 2
2019/9/25, 47, 26, 11, 9, 1, 3
2019/9/26, 50, 30, , 12, 1, 4
2019/9/27, 46, 13, 15, 10, , 2
2019/9/28, 27, 20, 14, 4, , 1
2019/9/29, 37, 19, 21, 5, 3, 1
2019/9/30, 39, 23, 23, 11, 2, 2
2019/10/1, 53, 27, 34, 13, 2, 3
2019/4/2, 44, 20, 24, 8, 3, 2
2019/4/3, 60, 30, 34, 19, 2, 5
2019/4/4, 80, 36, 55, 20, 2, 5
2019/4/5, 89, 38, 35, 20, 1, 5
2019/4/6, 82, 27, 30, 8, , 4
2019/4/7, 58, 14, 16, 8, , 4
2019/4/8, 47, 10, 11, 12, , 4
2019/4/9, 28, 10, 13, 7, , 3
2019/4/10, 38, 13, 13, 6, , 2
2019/4/11, 40, 18, 26, 9, 4, 3
2019/4/12, 53, 24, 29, 12, 2, 3
2019/4/13, 83, 29, 40, 6, 1, 4
2019/4/14, 84, 15, 12, 7, 1, 4
2019/4/15, 51, 18, 18, 9, 2, 4
2019/4/16, 67, 19, 18, 12, 2, 3
2019/4/17, 81, 17, 17, 9, 1, 3
2019/4/18, 37, 20, 23, 9, 1, 3
2019/4/19, 39, 22, 87, 13, 3, 4
2019/4/20, 54, 28, 35, 21, 1, 8
2019/4/21, 76, 36, 43, 16, 1, 7
2019/4/22, 98, 34, 29, 11, 2, 4
2019/4/23, 75, 22, 20, 5, 1, 3
2019/4/24, 57, 30, 21, 7, 1, 3
2019/4/25, 67, 33, 29, 9, 1, 3
2019/4/26, 74, 34, 30, 9, 1, 4
2019/4/27, 76, 26, 26, 16, , 6
2019/4/28, 71, 21, 24, 8, 1, 5
2019/4/29, 45, 15, 15, 10, 1, 3
2019/4/30, 28, 22, 24, 9, 1, 3
2019/5/1, 51, 21, 15, 10, 1, 4
2019/5/2, 60, 47, 23, 25, 1, 7
2019/5/3, 99, 42, 24, 22, 1, 6
2019/5/4, 89, 35, 27, 15, 1, 6
2019/5/5, 89, 36, 25, 10, 1, 5
2019/5/6, 88, 30, 26, 19, , 5
2019/5/7, 70, 21, 16, 7, 1, 3
2019/5/8, 41, 12, 12, 6, 1, 2
2019/5/9, 28, 18, 12, 9, 4, 2
2019/5/10, 40, 31, 20, 21, 1, 6
2019/5/11, 68, 23, 24, 15, , 6
2019/5/12, 61, 25, 21, 13, 1, 8
2019/5/13, 65, 26, 14, 8, 1, 3
2019/5/14, 59, 20, 20, 11, , 3
2019/5/15, 45, 13, 14, 6, , 2
2019/5/16, 30, 14, 10, 5, , 2
2019/5/17, 28, 11, 8, 8, 6, 3
2019/5/18, 31, 21, 9, 12, 1, 5
2019/5/19, 59, 14, 15, 8, 1, 3
2019/5/20, 41, 23, 15, 16, 1, 5
2019/5/21, 62, 29, 28, 28, 1, 6
2019/5/22, 78, 42, 27, 35, 2, 14
2019/5/23, 94, 38, 30, 30, 2, 8
2019/5/24, 110, 24, 19, 16, 1, 4
2019/5/25, 108, 12, 16, 8, , 
2019/5/28, 158, 28, 23, 19, 1, 
2019/5/29, 76, 30, 12, 17, 6, 
2019/5/31, 65, 26, 22, 18, 1, 7
2019/6/1, 69, 23, 11, 17, 1, 10
2019/6/2, 46, 17, 9, 12, 1, 4
2019/6/3, 42, 17, 6, 16, 1, 2
2019/6/4, 33, 16, 21, 8, , 2
2019/6/5, 19, 15, 16, 8, 6, 3
2019/6/6, 21, 19, 15, 13, 4, 4
2019/6/7, 37, 27, 22, 22, 1, 10
2019/6/8, 62, 36, 25, 28, 3, 23
2019/6/9, 102, 24, 25, 14, 2, 12
2019/6/10, 88, 30, 23, 18, 3, 5
2019/6/11, 63, 40, 8, 22, 1, 6
2019/6/12, 83, 37, 18, 27, 1, 12
2019/6/13, 85, 32, 17, 25, 2, 13
2019/6/14, 85, 26, 24, 22, 2, 6
2019/6/15, 66, 27, 25, 21, 3, 7
2019/6/16, 73, 29, 32, 15, 3, 5
2019/6/17, 78, 28, 21, 12, 1, 4
2019/6/18, 68, 28, 21, 22, 1, 6
2019/6/19, 81, 35, 21, 29, 2, 9
2019/6/20, 91, 46, 12, 16, 2, 15
2019/6/21, 87, 19, 15, 6, 2, 2
2019/6/22, 35, 29, 20, 13, 1, 4
2019/6/23, 63, 29, 25, 15, 1, 7
2019/6/24, 78, 30, 25, 20, 1, 8
2019/6/25, 65, 37, 23, 22, 1, 9
2019/6/26, 67, 42, 18, 18, 1, 9
2019/6/27, 78, 28, 16, 15, 2, 4
2019/6/28, 57, 40, 24, 17, 1, 5
2019/6/29, 77, 34, 23, 18, 1, 8
2019/6/30, 74, 37, 24, 16, 1, 8
2019/7/1, 72, 34, 25, 21, 2, 7
2019/7/2, 68, 44, 27, 24, 1, 8
2019/7/3, 91, 42, 26, 22, 1, 7
2019/7/4, 69, 14, 9, 11, , 4
2019/7/5, 33, 14, 15, 9, , 3
2019/7/6, 18, 21, 17, 21, 1, 3
2019/7/7, 30, 27, 20, , , 3
2019/7/8, 42, , , , , 
2019/1/2, 68, 20, 32, , , 2
2019/1/3, 49, 17, 30, , 1, 2
2019/1/4, 42, 13, 20, , , 3
2019/1/5, 33, 15, 19, , , 3
2019/1/6, 31, 13, 24, , , 3
2019/1/7, 38, 18, 28, , , 3
2019/1/8, 52, 30, 49, , 1, 5
2019/1/9, 65, 26, 40, , 1, 3
2019/1/10, 71, 25, 52, , , 3
2019/1/11, 60, 26, 55, , 1, 5
2019/1/12, 62, 28, 26, , , 3
2019/1/13, 71, 22, 42, , 1, 2
2019/1/14, 64, 25, 43, 9, 1, 3
2019/1/15, 69, 29, 40, 11, , 4
2019/1/16, 66, 25, 39, 9, 1, 3
2019/1/17, 56, 20, 64, 12, 1, 3
2019/1/18, 56, 21, 37, 6, 1, 
2019/1/22, 69, 27, 33, 7, 1, 4
2019/1/23, 62, 23, 30, 5, 1, 2
2019/1/24, 60, 22, 37, 7, 1, 3
2019/1/25, 54, 17, 18, 8, 1, 2
2019/1/26, 47, 18, 35, 10, 1, 4
2019/1/27, 42, 22, 26, 6, 1, 2
2019/1/28, 39, 25, 37, 8, 1, 4
2019/1/29, 60, 34, 66, 12, 3, 5
2019/1/30, 67, 30, 68, 15, 1, 6
2019/1/31, 77, 41, 74, 18, 4, 9
2019/2/1, 93, 41, 55, 6, 3, 5
2019/2/2, 74, 33, 75, 5, 2, 3
2019/2/3, 82, 18, 30, 1, 1, 2
2019/2/4, 44, 11, 19, 4, , 2
2019/2/5, 30, 16, 12, 3, 1, 2
