co2,regiao
30.48,ABC
30.08,ABC
30.35,ABC
30.48,ABC
30.54,ABC
30.41,ABC
30.61,ABC
30.68,ABC
30.74,ABC
30.61,ABC
30.68,ABC
30.41,ABC
30.41,ABC
30.68,ABC
30.41,ABC
30.54,ABC
30.35,ABC
31.01,ABC
30.54,ABC
30.74,ABC
30.48,ABC
30.68,ABC
30.81,ABC
30.81,ABC
30.74,ABC
30.88,ABC
31.21,ABC
31.28,ABC
30.81,ABC
30.74,ABC
30.94,ABC
30.81,ABC
30.74,ABC
31.01,ABC
31.21,ABC
31.21,ABC
30.54,ABC
31.28,ABC
31.42,ABC
31.48,ABC
31.55,ABC
31.9,ABC
32.03,ABC
32.45,ABC
32.87,ABC
32.45,ABC
32.94,ABC
32.52,ABC
32.59,ABC
33.08,ABC
34.16,ABC
34.6,ABC
37.02,ABC
34.67,ABC
34.82,ABC
36.79,ABC
35.34,ABC
36.4,ABC
37.65,ABC
33.87,ABC
31.01,ABC
30.94,ABC
30.74,ABC
30.94,ABC
31.08,ABC
31.08,ABC
31.9,ABC
30.81,ABC
30.74,ABC
30.74,ABC
30.61,ABC
31.08,ABC
30.88,ABC
30.68,ABC
30.68,ABC
30.88,ABC
30.81,ABC
30.94,ABC
30.68,ABC
31.21,ABC
31.35,ABC
30.61,ABC
31.15,ABC
31.42,ABC
31.55,ABC
32.03,ABC
32.17,ABC
30.74,ABC
30.81,ABC
30.81,ABC
30.88,ABC
31.42,ABC
31.21,ABC
31.62,ABC
31.76,ABC
31.96,ABC
31.69,ABC
31.35,ABC
31.76,ABC
31.76,ABC
31.96,ABC
31.69,ABC
31.62,ABC
31.76,ABC
31.76,ABC
31.21,ABC
30.54,ABC
31.35,ABC
31.21,ABC
31.96,ABC
31.15,ABC
31.69,ABC
31.9,ABC
32.03,ABC
32.45,ABC
33.01,ABC
32.66,ABC
32.66,ABC
31.69,ABC
31.28,ABC
31.62,ABC
31.21,ABC
31.15,ABC
31.21,ABC
31.83,ABC
31.28,ABC
31.9,ABC
32.1,ABC
32.31,ABC
32.87,ABC
32.8,ABC
32.87,ABC
33.87,ABC
34.23,ABC
32.73,ABC
33.72,ABC
34.52,ABC
34.16,ABC
35.34,ABC
35.04,ABC
32.1,ABC
31.83,ABC
32.24,ABC
32.24,ABC
31.55,ABC
31.21,ABC
32.45,ABC
32.17,ABC
33.15,ABC
32.03,ABC
31.21,ABC
30.68,ABC
30.94,ABC
31.01,ABC
31.35,ABC
30.81,ABC
30.94,ABC
30.68,ABC
30.54,ABC
30.54,ABC
30.68,ABC
30.81,ABC
30.68,ABC
30.68,ABC
30.48,ABC
30.54,ABC
30.41,ABC
31.21,ABC
30.74,ABC
30.68,ABC
30.54,ABC
30.54,ABC
30.54,ABC
30.54,ABC
30.81,ABC
30.68,ABC
30.54,ABC
30.41,ABC
30.48,ABC
30.21,ABC
30.41,ABC
30.35,ABC
30.74,ABC
30.74,ABC
30.54,ABC
30.41,ABC
30.74,ABC
30.61,ABC
30.88,ABC
30.74,ABC
30.68,ABC
30.61,ABC
30.68,ABC
31.15,ABC
30.94,ABC
30.81,ABC
30.41,ABC
30.81,ABC
30.81,ABC
30.74,ABC
30.61,ABC
31.55,ABC
30.94,ABC
30.94,ABC
31.08,ABC
31.28,ABC
31.9,ABC
30.68,ABC
30.74,ABC
30.94,ABC
30.94,ABC
31.01,ABC
31.35,ABC
30.74,ABC
30.41,ABC
30.28,ABC
30.35,ABC
30.48,ABC
30.48,ABC
30.54,ABC
30.74,ABC
30.48,ABC
30.41,ABC
30.41,ABC
30.41,ABC
30.48,ABC
30.21,ABC
30.41,ABC
30.21,ABC
31.15,ABC
30.41,ABC
30.48,ABC
30.68,ABC
30.61,ABC
30.21,ABC
30.54,ABC
30.61,ABC
30.61,ABC
30.68,ABC
30.74,ABC
30.68,ABC
30.74,ABC
30.74,ABC
30.81,ABC
30.74,ABC
30.88,ABC
30.88,ABC
31.08,ABC
30.15,ABC
30.54,ABC
30.61,ABC
30.54,ABC
30.68,ABC
30.88,ABC
30.74,ABC
30.88,ABC
30.28,ABC
30.68,ABC
30.74,ABC
30.88,ABC
30.94,ABC
30.81,ABC
30.74,ABC
30.94,ABC
31.21,ABC
31.76,ABC
30.61,ABC
30.68,ABC
30.54,ABC
30.48,ABC
30.68,ABC
30.02,ABC
30.68,ABC
30.74,ABC
30.68,ABC
30.88,ABC
30.81,ABC
30.61,ABC
30.81,ABC
30.61,ABC
30.81,ABC
30.68,ABC
30.61,ABC
30.48,ABC
30.68,ABC
30.88,ABC
30.88,ABC
30.94,ABC
31.21,ABC
31.55,ABC
32.17,ABC
32.31,ABC
30.81,ABC
30.68,ABC
30.41,ABC
30.74,ABC
30.74,ABC
30.74,ABC
30.48,ABC
31.01,ABC
30.74,ABC
30.74,ABC
30.74,ABC
30.88,ABC
30.68,ABC
30.94,ABC
30.68,ABC
31.08,ABC
30.61,ABC
30.48,ABC
30.68,ABC
30.68,ABC
30.68,ABC
30.81,ABC
30.61,ABC
31.35,ABC
30.35,ABC
30.74,ABC
30.41,ABC
30.68,ABC
30.28,ABC
30.74,ABC
31.21,ABC
30.74,ABC
30.41,ABC
30.54,ABC
30.81,ABC
30.88,ABC
30.68,ABC
30.68,ABC
31.15,ABC
30.54,ABC
30.81,ABC
30.81,ABC
30.81,ABC
30.74,ABC
30.81,ABC
31.21,ABC
31.21,ABC
30.74,ABC
31.55,ABC
31.76,ABC
30.81,ABC
31.01,ABC
31.48,ABC
31.48,ABC
31.28,ABC
31.76,ABC
32.1,ABC
